"UserID","OrigFullname","KEY1","KEY3","DuplicCountKEY3","DupK3WithUID","SourceFile","OrigRecordID","Party","OrigPartyOrRiding","ContribDate","AmountDollar","City","ProvinceCode","PostalCode","CleanFullname"
1,"André-Noël KeyOneOK","andrenoel keyoneok|G5R3X8|Bloc","andrenoel|G5R3X8|Bloc",1,"-","00TestCases.csv",50,"Bloc","Bloc Québécois",2013-10-29,200,"Rivière-du-Loup","QC","G5R3X8","andrenoel keyoneok"
4,"François A. KeyOneMid","francois a keyonemid|J0Y2M0|Bloc","francois|J0Y2M0|Bloc",2,"-","00TestCases.csv",3,"Bloc","Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou",2012-07-24,400,"Senneterre","QC","J0Y2M0","francois a keyonemid"
6,"François XY. KeyOneMid","francois xy keyonemid|J0Y2M0|Bloc","francois|J0Y2M0|Bloc",2,"4","00TestCases.csv",5,"Bloc","Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou",2012-12-25,255,"Senneterre","QC","J0Y2M0","francois xy keyonemid"
7,"Hélène KOnePostCode","helene konepostcode|x1x1x1|Bloc","helene|x1x1x1|Bloc",1,"-","00TestCases.csv",890,"Bloc","Association du Bloc Québécois Verchères--Les Patriotes",2013-05-18,10,"Varennes","QC","x1x1x1","helene konepostcode"
8,"Hélène KOnePostCode","helene konepostcode|G5J1R4|Bloc","helene|G5J1R4|Bloc",1,"-","00TestCases.csv",4,"Bloc","Association du Bloc Québécois de Haute-Gaspésie--La Mitis--Matane--Matapédia",2013-11-18,60,"Amqui","QC","G5J1R4","helene konepostcode"
9,"Stéphane KOneParty","stephane koneparty|R2H1T1|Green","stephane|R2H1T1|Green",1,"-","00TestCases.csv",4,"Green","Saint Boniface Federal Green Party Association",2008-09-25,1100,"Winnipeg","MB","R2H1T1","stephane koneparty"
10,"Stéphane KOneParty","stephane koneparty|R2H1T1|Liberal","stephane|R2H1T1|Liberal",1,"-","00TestCases.csv",891,"Liberal","Winnipeg South Centre Federal Liberal Association",2013-12-31,1080,"Winnipeg","MB","R2H1T1","stephane koneparty"
11,"Johan SoundEx","johan soundex|V9R4L2|NDP","johan|V9R4L2|NDP",1,"-","00TestCases.csv",114,"NDP","Nanaimo--Cowichan Federal NDP Electoral District Association",2013-01-17,20,"Nanaimo","BC","V9R4L2","johan soundex"
12,"John SoundEx","john soundex|V9R4L2|NDP","john|V9R4L2|NDP",1,"-","00TestCases.csv",123,"NDP","Nanaimo--Cowichan Federal NDP Electoral District Association",2013-10-24,20,"Nanaimo","BC","V9R4L2","john soundex"
13,"Joe SoundEx","joe soundex|V9R4L2|NDP","joe|V9R4L2|NDP",1,"-","00TestCases.csv",124,"NDP","Nanaimo--Cowichan Federal NDP Electoral District Association",2013-11-21,20,"Nanaimo","BC","V9R4L2","joe soundex"
14,"Joseph SoundEx","joseph soundex|V9R4L2|NDP","joseph|V9R4L2|NDP",1,"-","00TestCases.csv",122,"NDP","Nanaimo--Cowichan Federal NDP Electoral District Association",2013-09-17,20,"Nanaimo","BC","V9R4L2","joseph soundex"
15,"Allan SoundEx","allan soundex|S7J2M8|Green","alan|S7J2M8|Green",1,"-","00TestCases.csv",72,"Green","Saanich--Gulf Islands Green Party EDA",2013-10-27,273,"Saskatoon","SK","S7J2M8","allan soundex"
17,"Alen SoundEx","alen soundex|S7J2M8|Green","alen|S7J2M8|Green",1,"-","00TestCases.csv",75,"Green","Saanich--Gulf Islands Green Party EDA",2013-12-25,375,"Saskatoon","SK","S7J2M8","alen soundex"
18,"Alain SoundEx","alain soundex|S7J2M8|Green","alain|S7J2M8|Green",1,"-","00TestCases.csv",76,"Green","Saskatoon--Humboldt Federal Green Party Association",2013-03-11,476,"Saskatoon","SK","S7J2M8","alain soundex"
19,"Alin SoundEx","alin soundex|S7J2M8|Green","alin|S7J2M8|Green",1,"-","00TestCases.csv",77,"Green","Saskatoon--Humboldt Federal Green Party Association",2013-04-30,577,"Saskatoon","SK","S7J2M8","alin soundex"
20,"Aline SoundEx","aline soundex|S7J2M8|Green","aline|S7J2M8|Green",1,"-","00TestCases.csv",78,"Green","Saskatoon--Humboldt Federal Green Party Association",2013-05-31,278,"Saskatoon","SK","S7J2M8","aline soundex"
21,"Alanis SoundEx","alanis soundex|S7J2M8|Green","alanis|S7J2M8|Green",1,"-","00TestCases.csv",79,"Green","Saskatoon--Humboldt Federal Green Party Association",2013-07-31,379,"Saskatoon","SK","S7J2M8","alanis soundex"
22,"Michael SoundEx","michael soundex|J9P4T5|Bloc","michael|J9P4T5|Bloc",4,"-","00TestCases.csv",3,"Bloc","Association de circonscription du Bloc Québécois Montcalm",2013-12-31,400,"Val-d'Or","QC","J9P4T5","michael soundex"
23,"Mikael SoundEx","mikael soundex|J9P4T5|Bloc","michael|J9P4T5|Bloc",4,"22","00TestCases.csv",4,"Bloc","Association de circonscription du Bloc Québécois Montcalm",2013-11-21,350,"Val-d'Or","QC","J9P4T5","mikael soundex"
24,"Michel SoundEx","michel soundex|J9P4T5|Bloc","michael|J9P4T5|Bloc",4,"22","00TestCases.csv",5,"Bloc","Association de circonscription du Bloc Québécois Montcalm",2013-10-30,1000,"Val-d'Or","QC","J9P4T5","michel soundex"
25,"Mike SoundEx","mike soundex|J9P4T5|Bloc","michael|J9P4T5|Bloc",4,"22","00TestCases.csv",6,"Bloc","Association de circonscription du Bloc Québécois Montcalm",2013-12-31,400,"Val-d'Or","QC","J9P4T5","mike soundex"
26,"Michelle SoundEx","michelle soundex|J9P4T5|Bloc","michelle|J9P4T5|Bloc",1,"-","00TestCases.csv",7,"Bloc","Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou",2012-12-03,407,"Val-d'Or","QC","J9P4T5","michelle soundex"
27,"Mikaela SoundEx","mikaela soundex|J9P4T5|Bloc","mikaela|J9P4T5|Bloc",1,"-","00TestCases.csv",8,"Bloc","Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou",2012-12-28,408,"Val-d'Or","QC","J9P4T5","mikaela soundex"
28,"Philips SoundEx","philips soundex|N0R1B0|Conservative","philips|N0R1B0|Conservative",3,"-","00TestCases.csv",4201,"Conservative","Conservative Party of Canada",2013-06-28,333,"COTTAM","ON","N0R1B0","philips soundex"
29,"Philippe SoundEx","philippe soundex|N0R1B0|Conservative","philips|N0R1B0|Conservative",3,"28","00TestCases.csv",4203,"Conservative","Conservative Party of Canada",2013-04-09,245,"COTTAM","ON","N0R1B0","philippe soundex"
30,"Phil SoundEx","phil soundex|N0R1B0|Conservative","philips|N0R1B0|Conservative",3,"28","00TestCases.csv",4204,"Conservative","Conservative Party of Canada",2013-09-25,95,"COTTAM","ON","N0R1B0","phil soundex"
31,"PhUlPOs SoundEx","phulpos soundex|N0R1B0|Conservative","phulpos|N0R1B0|Conservative",1,"-","00TestCases.csv",4205,"Conservative","Conservative Party of Canada",2013-05-06,111,"COTTAM","ON","N0R1B0","phulpos soundex"
33,"Thomas SimilarFN","thomas similarfn|K0J1S0|Green","thomas|K0J1S0|Green",2,"-","00TestCases.csv",1,"Green","Renfrew--Nipissing--Pembroke Green Party Riding Association",2013-03-31,200,"Douglas","ON","K0J1S0","thomas similarfn"
34,"Tom SimilarFN","tom similarfn|K0J1S0|Green","thomas|K0J1S0|Green",2,"33","00TestCases.csv",2,"Green","Renfrew--Nipissing--Pembroke Green Party Riding Association",2013-02-28,200,"Douglas","ON","K0J1S0","tom similarfn"
